name,likes,description
Papaver orientale,15921,Behind the leaves.
undefined,13059,Finding my roots
Begonia semperflorens,11201,From a sunny afternoon spent wandering around the Glasshouse at RHS Wisley. I loved the texture and colours of these 🌿
Verbena,10656,Looking up
Petunia,10425,Succulent center in macro
Dill,10418,PALM TREE SHADOW
Lantana camara,10358,green and white leafed plants
Zizania aquatica,10101,Minimal eucalyptus leaves
Wisteria,9756,Still
Bamboo palm,8294,sakura tree in bloom
Wisteria frutescens,8227,For our first valentine together my boyfriend gifted me one of the most beautiful roses that I’ve ever seen. The color was a great match for our wallpaper, which you can see in the background.
Quince,7603,California blooming like crazy after months of non-stop rains. Even deserts are covered with juicy bright flowers. The photo was made on Diamond Valley Lake a few days ago.
Daffodil,7243,green leaf plant
Gentiana lutea,7128,🌱 Rubber Tree, another one of my favourite indoor plants.
Gypsophila paniculata,6490,Green minimalism
Gloriosa Lily,5985,I took a trip to RHS Wisley this weekend with a friend. Inside the glasshouse butterflies flew around us and whilst everyone tried to capture them flying I had my lens down in the plants!
Zizia aurea,5953,The beauty of nature
Kniphofia ensifolia,5763,close-up photo of green leaf
Balloon Flower,5737,Floral desktop
Wisteria frutescens,5666,Infinite Ferns
Bellis perennis,5463,i have big interest with plants, the way they grow, their foliage’s unique form. every plant has their uniqueness. This photo is one of my plant’s pattern collection.
Rocket Larkspur,5356,Has a brief moment of inspiration while in Cap Haitian, Haiti. I was traveling across Haiti with Haiti Design Co. They are a company that empowers Haitian Artisians to create quality Jewelry and Fine Leather Goods.
Uva Ursi,5254,Poor mans garden
Baby's Breath,5245,shallow photography of leaves
Forget-Me-Not,5168,At the florist’s
Malva sylvestris,5145,low angle of pink flowering tree
Verbena hastata,5140,Love this flowers for a sweet smell and rich colors 💕
undefined,5099,multicolored flower illustration
undefined,5045,Ribs
Canna Lily,4971,rubber plant
Rosemary,4721,Enjoy a potted succulent in minimalist form.
Yellow-Eyed Grass,4579,green leafed plant in glass jar
Paintbrush,4513,person holding leaf plant
Juncus tenuis,4468,potted green plant beside wall
undefined,4466,white cluster petaled flower in close up photography
Verbena,4461,Cheese plant leaf in clear glass vase
Dianthus,4310,A Bouquet.
The taste for overcrowded flower and fruit still lifes became outmoded at the end of the 18th century. Henriëtte Geertruida Knip responded to this change, painting watercolours like this one with only a few kinds of blossoms and, moreover, omitting the vase. Her elegant flower pieces were extremely popular. One of her watercolours even won a silver medal in Paris in 1819.
Creator: Henriëtte Geertruida Knip
Date: 1820.
Institution: Rijksmuseum.
Provider: Rijksmuseum.
Providing Country: Netherlands.
PD for Public Domain Mark 
Ivy gourd,4206,assorted succulents in clay pots
Osteospermum,3986,Red and blue hydrangea
Dianthus,3969,Cactus and Interior love - Please tag my instagram @anotherlovely_ 
Gazania,3920,close shot of yellow flowers
Fuchsia hybrida,3819,I used 5 tiers of glass to create this layered effect and placed cuts of branches in between each layer.
Ribbon Grass,3807,coming alive
Zantedeschia aethiopica,3806,Some fresh lavender buds that grow wild in my yard. I love the soothing soft purple hues.
Uva Ursi,3782,closeup photo of green leafed plant
Viola cornuta,3722,pink petaled flowers wallpaper
undefined,3602,Dandelion
Peace lily,3565,green cactus plant on brown pot
Impatiens balsamina,3545,Hibiscus
Heliotropium arborescens,3507,One might not guess it, but this photo is actually from a collection of those flowers for sale at the front of a Lowe’s home improvement store.
Always be ready for a shot. You never know where your most seen one will come from next!
Acanthus,3492,Wildflowers  at Uppark House Garden, Petersfield
Lavender,3452,A sunny day in our SF apartment
Wandering Jew,3449,green leaf plant beside wall
Snapdragon,3446,white table with brown wicker chair beside plants
Adiantum capillus-veneris,3440,selective focus photography of pink petaled flower
Everlasting,3375,shallow focus photography of white-and-pink petaled flowers
Baby Blue Eyes,3327,palm trees
Impatiens hawkeri,3300,Roses are red
Ageratum,3294,Tree-lined alley
undefined,3280,Backyard leaves
Kaffir Lily,3254,green plant on white ceramic pot
undefined,3177,Vase of Flowers.
Creator: Jan Davidsz de Heem.
Date: 1670.
Institution: Mauritshuis.
Provider: Digitale Collectie.
Providing Country: Netherlands.
PD for Public Domain Mark 
Norfolk Island pine,3053,brown leaf
Zebra Plant,3010,Leaf with glass water
undefined,2995,green cacti
Fuchsia,2971,sakura
Lamium maculatum,2931,Dried branch in the sunlight
Camellia,2919,I took the shot at home with Sigma 105 mm.
Windflower,2856,red flower arrangement on white table
Daffodil,2833,Roses
Callicarpa bodinieri,2825,Layers of autumnal foliage on glass
undefined,2816,Sunlight and flowers in a greenhouse
Eustoma grandiflorum,2805,Minimal flower vase
undefined,2775,area covered with green leafed plants
undefined,2746,pink petaled flower
undefined,2734,White lilac
Kangaroo Paw,2720,white rose enclosed photograph
Cactus,2711,selective focus photo of pink petaled flower
Zinnia elegans,2668,pink dahlia flowers in focus photography
Rocket Larkspur,2667,red petaled flowers with white background
Gloriosa Lily,2660,Lavender flower bed in the evening
Rudbeckia,2658,Home plant madness
Ulex europaeus,2612,Pink cosmos flowers
Queen's Cup,2601,Green plants
Kniphofia rooperi,2574,5 layers of glass and some cuttings from my garden
undefined,2545,dogwood flower
undefined,2440,Replanting small plants
Iris,2325,white-and-pink flowers
Thuja occidentalis,2313,pink flower
Snapdragon,2264,the texture of green leaf
Zizania aquatica,2258,Pristine magnolia
Echinacea,2245,white flower
Thyme,2231,Taken at daytime, the flower was placed on a piece of glass above me so I could get the clouds in the background. 
Eucalyptus,2223,shallow focus photography of white flower lot
Wisteria,2192,pink flower in macro lens
Aloe,2192,Meet Ryan Lewis, the Zebra Haworthia.
Sun Rose,2171,Green foliage with wooden vases home decor piece
Salvia coccinea,2115,Porcelain teapot on windowsill
undefined,2113,Lily pad
undefined,2103,Eye-catching flower basket
