name,count
plant,300
flower,238
nature,208
blossom,181
green,165
flora,144
leaf,132
floral,121
background,115
grey,107
wallpaper,104
plants,94
white,77
petal,77
botanical,68
leaves,67
tree,64
minimal,62
vase,55
art,49
potted plant,49
spring,48
website,48
pottery,47
flowers,47
jar,45
pink,45
greenery,45
design,40
geranium,36
garden,34
wall,31
outdoors,30
interior,30
wallpapers,29
texture,29
rose,29
flower arrangement,29
home,28
backgrounds,28
ornament,26
planter,26
animal,25
food,25
minimalist,24
foliage,24
simple,24
minimalism,23
decor,22
brown,22
summer,21
pot,21
collage,21
fern,21
blue,21
purple,20
vegetation,20
blog,20
light,20
life,19
bloom,19
daisy,19
clean,19
monstera,19
natural,19
pattern,19
dark,19
aesthetic,18
red,17
grass,17
daisies,17
sky,17
furniture,17
indoors,17
interior design,17
water,16
greens,16
stem,16
yellow,16
studio,16
inspiration,16
person,16
bush,16
human,15
cactus,15
beauty,15
forest,15
color,15
cherry blossom,15
tropical,15
veins,15
herbs,14
shadow,14
new,13
dahlia,13
usa,13
ikebana,13
petals,12
houseplants,12
pollen,12
