name,count
plant,301
flower,239
nature,209
blossom,182
green,165
flora,144
leaf,133
floral,121
background,115
grey,107
wallpaper,104
plants,95
white,78
petal,78
leaves,68
botanical,68
tree,64
minimal,62
vase,55
potted plant,49
art,49
website,48
spring,48
flowers,48
pottery,47
pink,45
jar,45
greenery,45
design,40
geranium,36
garden,34
wall,31
outdoors,30
interior,30
flower arrangement,29
wallpapers,29
rose,29
texture,29
home,28
backgrounds,28
planter,26
ornament,26
food,25
animal,25
minimalist,24
simple,24
foliage,24
minimalism,23
brown,22
decor,22
fern,21
collage,21
blue,21
summer,21
pot,21
daisy,20
vegetation,20
purple,20
light,20
blog,20
life,19
dark,19
natural,19
clean,19
monstera,19
pattern,19
bloom,19
aesthetic,18
daisies,18
interior design,17
furniture,17
indoors,17
sky,17
red,17
grass,17
studio,16
stem,16
greens,16
person,16
yellow,16
bush,16
inspiration,16
water,16
tropical,15
beauty,15
color,15
veins,15
cherry blossom,15
human,15
cactus,15
forest,15
usa,14
herbs,14
shadow,14
dahlia,13
pollen,13
ikebana,13
new,13
flower bouquet,12
united states,12
